"Service Provider","Contact Name",Email,Website,"Primary Phone","Secondary Phone","Street Address",City,State,ZIP,Services,Borough,Certifications/Licenses,"Incentive Program Affiliation","General Description","Market Sectors","Number of Employees","Number of Years in Business","Building Size"
"JL Electric","Ozni Lewis",Olewis@jameslewiselectrical.com,https://jlec.nyc,"347-365-3166 EXT. 701",718-552-5141,"995 Rutland Road",Brooklyn,"New York",11212,"Audits/Study/Consultant, Chilled Water Hot Water and Stream Distribution Systems, Controls/Energy Management Systems, Electrical/Lighting Contractor, Energy Storage, Equipment Vendor/Manufacturer, EV Charging Station, Lighting, LL88 (Verification/Filing), LL88 (Install), LL88 (Turnkey = Turnkey = Install, Verify, File), LL97 A321 (Verification/Filing), Turnkey Solutions","Brooklyn, Bronx, Manhattan, Queens, Staten Island","Electrician License, Master Electricians License, Minority Owned Business Enterprise (MBE), Registered Design Professional","Con Edison Small-Medium Business Program (SMB), Con Edison Multifamily Program (MFEEP), Con Edison Commercial and Industrial (C&I), Con Edison Instant Lighting Incentive Program (ILIP), NYSERDA Charge Ready NY Program","JL ELECTRIC, a Minority Business Enterprise (MBE), is committed to sustainability and the green economy. We are leading the charge towards complete electrification in New York City and New York State. Our services include:

-Electrical Service Upgrades: Residential, Commercial, Industrial
-Electrical Lighting Retrofits & Upgrades
-EVSE Chargers: Installation, Maintenance, Repair
-Low Voltage Installation: Communication, Fire Alarm, Security
-Electrical Panel Upgrades

We specialize in EVSE charger installation and maintenance, electrical lighting upgrades, and service upgrades to comply with NYC's Local Laws 87 and 97.","Affordable Housing, Commercial and Industrial, Healthcare, Institutional",6,5,"Small (0-50K sq. ft), Medium (50K-250K sq. ft), Large (250K+ sq. ft)"
"Katz Architecture and Project Management","David Katz",dkatz@katzarch.com,https://www.katzarch.com,212-353-1080,917-841-0641,"305 7th Avenue, Suite 2001","New York","New York",10001,"Architecture, Building Envelope/Roof Services, Building Representatives, Engineering/Design/Modeling, Green Roof, Lighting, Passive House, Roofing, Windows/Fenestration",Manhattan,"Registered Design Professional",,"Katz Architecture and Project Management is a full-service architectural practice that provides design, management, and construction consulting services. We are specialists in the renovation and adaptive re-use of older structures and can assist from early-stage feasibility and zoning studies through construction administration or at any point throughout the process. Our specialties include façade inspection and repair (FISP), roof replacement, window replacement, sidewalk vault repair and reconstruction, water infiltration correction, and building-wide infrastructure work.

Often called upon as troubleshooters, we thrive on resolving complex problems with innovative solutions.

Our track record since 2002 reflects a commitment to design excellence and exceptional service. We serve a diverse clientele, including private companies, foundations, building owners, coop and condo boards, and fellow design professionals. Notably, over 70 percent of our work is derived from repeat clients, attesting to the trust and satisfaction they find in our services.","Commercial and Industrial, Multifamily Market Rate",9,23,"Small (0-50K sq. ft)"
"KEA Engineers","Liu Liu",liul@keaengineers.com,https://www.keaengineers.com/,732-635-0044,,"186 S Wood Ave",Iselin,"New Jersey",08830,"Audits/Study/Consultant, Engineering/Design/Modeling, Energy Modeling, HVAC, Mechanical/MEP","Brooklyn, Bronx, Manhattan, Queens, Staten Island","Registered Design Professional",,"Full MEP designs such as mechanical, electrical, plumbing, fire protection, and energy modeling, building efficiency optimization, building design assistance, and low-carbon engineering.","Affordable Housing, Commercial and Industrial, Healthcare, Institutional, Multifamily Market Rate",55,40,"Medium (50K-250K sq. ft), Large (250K+ sq. ft)"
"KOW Building Consultants","Jared Forman",jaredf@kowbc.com,https://kowbc.com,631-757-5000,631-252-8717,"1034 West Jericho Turnpike",Smithtown,"New York",11787,"Audits/Study/Consultant, Engineering/Design/Modeling, Energy Modeling, Heat Pumps, HVAC, Local Law 84, Local Law 87, LL88 (Verification/Filing), LL97, LL97 A321 (Verification/Filing), Passive House, Retro-Commissioning, Ventilation, Water Conservation","Brooklyn, Bronx, Manhattan, Queens, Staten Island","Registered Design Professional","NYS Affordable Multifamily Energy Efficiency (AMEEP), NYSERDA FlexTech, NYSERDA MPP, NYSERDA Low Carbon Pathways for Multifamily Buildings, NYSERDA New Construction (Housing PON 4337), NYSERDA NY-Sun Program, NYSERDA Clean Heat Program, NYSERDA Work Force Training","KOW Building Consultants is a leading provider of Integrated Physical Needs Assessments and offers a suite of sustainability services including Local Law 97 studies, NYSERDA incentive programs, Enterprise Green Communities, ENERGY STAR, Benchmarking, Commissioning, TR8 Inspections, and more. We offer start-to-finish sustainability consulting services to provide energy improvement recommendations, along with financial and energy savings calculations to determine a feasible scope of work with the most lucrative incentive opportunities. We can guide your project through available incentive programs, offering everything from application assistance, inspections and verification, and final program submissions. Local Law 84 (LL84), Local Law 87 (LL87), Local Law 88 (LL88), Local Law 97 (LL97), Passive House.","Affordable Housing, Commercial and Industrial, Institutional, Multifamily Market Rate",40,45,"Small (0-50K sq. ft), Medium (50K-250K sq. ft), Large (250K+ sq. ft)"
"KURV Architecture D.P.C.","Alexander Loyer Hughes",alex@kurvarchitecture.com,https://www.kurvarchitecture.com/energy,917-628-7532,212-203-2644,"142 W 57th Street","New York","New York",10019,"Architecture, Audits/Study/Consultant, Building Envelope/Roof Services, Engineering/Design/Modeling, Energy Modeling, Green Roof, Insulation, Lighting, Local Law 84, Local Law 87, LL97, Mechanical/MEP, Passive House, Turnkey Solutions, Windows/Fenestration","Brooklyn, Bronx, Manhattan, Queens, Staten Island","Minority Owned Business Enterprise (MBE), Registered Design Professional",,"KURV ARCHITECTURE D.P.C. provides Sustainability Compliance and Energy Modeling Services to Building Owners and Developers.

Whether we are designing a new passive house building from the ground up, retrofitting an old building to reduce its carbon footprint, or just helping clients achieve basic benchmarking reports or regulatory sustainability compliance, we use advanced custom tools in BIM to BEM (Building Information Modeling to Building Energy Modeling) Technology to PPHP, gbXML and the U.S. Department of Energy’s Open Studio for Energy Plus in order to provide building owners with verifiable, measurable, standardized Energy Simulation Analysis.

We apply custom, advanced parametric software to accurately prescribe where to invest in “Energy Proofing” construction elements and building systems on a case by case basis. We also diagnose the variable alternatives that exist in cost, quality + time in order to intelligently provide adaptive physical solutions for better ENERGY performance.

In New York City, we help building owners navigate the NYC Energy Benchmarking Report, Local Law 33, Local Law 95, and Local Law 97 for Green House Gas Emissions for existing buildings. We also design green roof systems for compliance with Local Law 92 + 94 and provide compliant energy data for Federal and State Energy grants and tax incentives by providing Energy Use Intensity (EUI) or Greenhouse Gas Emissions Intensity (GHG) performance data.

We are also well versed in the current New York State Energy Conservation Code (NYCECC), the International Energy Conservation Code (IECC),and ASHRAE Standard 140 and we provide consulting, design and retrofit strategies and plans for developers and building owners.

In the United States, we spend over $400 Billion each year powering our homes and commercial buildings. These building consume 75% of the electricity used in the country. This in turn, is 40% of the United States’ total Energy Consumption.

It is estimated that at a minimum, 30% of this Energy and Money is wasted due to poor Building Design. In addition, Buildings in the United State account for 35% of all CO2 emissions.

For those who care more about their pocket book than the Natural Environment, Energy Saving Improvements in Buildings Saves Money.

KURV ARCHITECTURE D.P.C. can help your building achieve Energy Compliance with the least amount of effort possible.","Affordable Housing, Commercial and Industrial, Multifamily Market Rate",5,7,"Small (0-50K sq. ft)"
"Latitude Compliance, Inc","Adina Banayan",adina@latitudecompliance.net,https://latitudecompliance.net,929-349-7333,718-851-9090,"3611 14th Avenue Suite 606",Brooklyn,"New York",11218,"Architecture, Audits/Study/Consultant, Building Envelope/Roof Services, Building Representatives, Controls/Energy Management Systems, Data Platform/Data as a Service, Energy Modeling, General Contractor, Local Law 84, Local Law 87, Maintenance, Passive House, Retro-Commissioning, Turnkey Solutions","Brooklyn, Bronx, Manhattan, Queens, Staten Island","Certified Energy Manager, ConstructNYC Green Training, Green Professional Training (GPRO), Registered Design Professional, Retro Commissioning Agent",,"Latitude is a sustainability consulting firm, born out of the urgent needs of our previous NYC clients facing the stringent demands of Local Law 97. Having established ourselves as experts in navigating New York City’s complex energy regulations over the past 5 years, we’ve now expanded to offer consulting services nationwide. We specialize in guiding institutional and healthcare buildings to achieve environmental compliance and energy efficiency. Our expertise includes comprehensive building analysis, navigating regulations like Local Laws 97 and 88, and providing personalized vendor referrals from our trusted database to secure incentives and implement sustainable solutions. With a commitment to practical strategies, we empower clients to confidently navigate sustainability challenges.

Attached are some of our qualifications. 
•	GPRO Certified
•	Energy Star Certified
•	Climate Ready Certified
•	Masters in Sustainability Management/ Policy
•	Trained Architect, B.Arch; Assoc. AIA
•	Promont, our parent company, is a licensed general contractor in NY, FL and CT","Affordable Housing, Commercial and Industrial, Healthcare, Institutional, Multifamily Market Rate",7,5,"Small (0-50K sq. ft), Medium (50K-250K sq. ft), Large (250K+ sq. ft)"
"Leigh Scott Energy Solutions","Luke Serkanic",luke@leighscottsolutions.com,https://www.leighscottsolutions.com,347-735-1890,347-201-0401,"560 Grand Street",Brooklyn,"New York",11211,"Air Sealing/Weatherization, Audits/Study/Consultant, Building Representatives, Chilled Water Hot Water and Stream Distribution Systems, Controls/Energy Management Systems, Data Platform/Data as a Service, Domestic Hot Water, EC Motors, Elevator Modernization, Engineering/Design/Modeling, Energy Modeling, Energy Storage, Engineering/Structural Engineering, Equipment Vendor/Manufacturer, EV Charging Station, Geothermal, Green Roof, Heat Pumps, HVAC, Hydronic Heating, Insulation, Lighting, Local Law 84, Local Law 87, LL88 (Turnkey = Turnkey = Install, Verify, File), LL97 A321 (Turnkey = Turnkey = Install, Verify, File), Maintenance, Mechanical/MEP, Packaged Terminal Air, Passive House, Pipe Insulation, Prescriptive Pathway (All 13 PECM's), Steam Heating, Turnkey Solutions, Water Conservation","Brooklyn, Bronx, Manhattan, Queens, Staten Island","Registered Design Professional, Retro Commissioning Agent",,"Leigh Scott Energy Solutions offers a suite of specialized services to enhance facility performance and energy efficiency. Our energy audits provide comprehensive system evaluations, energy usage analysis, and detailed assessments to identify and implement cost-effective energy-saving opportunities. We ensure compliance with all relevant energy standards and provide thorough reporting to support strategic planning. Our retro-commissioning services optimize existing building systems, ensuring they operate efficiently through functional testing, control system calibration, and continuous monitoring. We also offer carbon emissions reporting, developing compliance plans, financial impact reports, and customized emissions adjustments to meet regulatory requirements. Our team of professional engineers (P.E.), certified energy managers (CEM), and certified commissioning professionals (CCP) deliver unmatched expertise and tailored solutions for your facility's needs.  We also provide Gross Floor Area Measurements.","Affordable Housing, Commercial and Industrial, Healthcare, Institutional, Multifamily Market Rate",3,9,"Medium (50K-250K sq. ft)"
"Livolt Consulting LLC","Nathan Winkler",info@livolt.net,https://www.livolt.com,646-755-3734,347-868-7398,"80 Broad Street, 5th Floor","New York","New York",10004,"Audits/Study/Consultant, Controls/Energy Management Systems, Engineering/Design/Modeling, Energy Modeling, Expediting, LL88 (Verification/Filing), LL97, LL97 A321 (Verification/Filing)","Brooklyn, Bronx, Manhattan, Queens, Staten Island","Registered Design Professional","NYSERDA FlexTech","Full service MEP engineering, construction management, cogeneration, M&V, energy audits, commissioning, retro-commissioning, M&V, electrification studies, field inspections, LL97/LL87/LL84/LL88 compliance. PE certification and permitting of all the above services.","Affordable Housing, Commercial and Industrial, Healthcare, Institutional, Multifamily Market Rate",6,7,"Medium (50K-250K sq. ft)"
"Loring Consulting Engineers, Inc.","Kalpak Karule",KKarule@LoringEngineers.com,https://www.loringengineers.com,646-674-6176,408-431-2735,"360 West 31st Street, 14th Floor","New York","New York",10001,"Air Sealing/Weatherization, Audits/Study/Consultant, Boiler Services, Building Envelope/Roof Services, Chilled Water Hot Water and Stream Distribution Systems, Community Solar, Controls/Energy Management Systems, Demand Response, Domestic Hot Water, EC Motors, Electric Induction Stoves, Electrification Feasibility Assessments, Elevator Modernization, Engineering/Design/Modeling, Energy Modeling, Energy Storage, Engineering/Structural Engineering, EV Charging Station, Expediting, Green Roof, Heat Pumps, HVAC, Insulation, Lighting, Local Law 84, Local Law 87, LL88 (Verification/Filing), LL97 A321 (Verification/Filing), Mechanical/MEP, Packaged Terminal Air, Passive House, Pipe Insulation, Retro-Commissioning, Roofing, Steam Heating, Ventilation, Water Conservation, Windows/Fenestration","Brooklyn, Bronx, Manhattan, Queens, Staten Island","Certified Energy Auditor, Certified Energy Manager, LEED AP Building Design + Construction (LEED AP BD+C), LEED AP Interior Design + Construction (LEED AP ID+C), Registered Design Professional, Retro Commissioning Agent","Con Edison Commercial and Industrial (C&I), NYSERDA FlexTech, NYSERDA Low Carbon Pathways for Multifamily Buildings, NYSERDA Clean Heat Program","Loring Consulting Engineers, Inc. specializes in engineering solutions that prioritize energy efficiency, sustainability, and decarbonization. Our services include mechanical, electrical, and plumbing (MEP) engineering, comprehensive energy services, and tailored solutions for achieving carbon reduction goals. With expertise in both new construction and renovation projects, we collaborate closely with stakeholders to design efficient, code-compliant systems that align with long-term building performance objectives. Our experience spans diverse building types, including commercial, educational, healthcare, and government facilities, with a commitment to delivering innovative, cost-effective, and future-ready solutions.","Affordable Housing, Commercial and Industrial, Healthcare, Institutional, Multifamily Market Rate",220,67,"Small (0-50K sq. ft), Medium (50K-250K sq. ft), Large (250K+ sq. ft)"
"Mayflower Energy Engineering","Bernardo Borges",info@mayflowerpllc.com,https://www.mayflowerpllc.com,917-600-0400,,"485 St Johns Place, Suite A2",Brooklyn,"New York",11238,"Audits/Study/Consultant, Engineering/Design/Modeling, Local Law 84, Local Law 87, LL88 (Verification/Filing), LL97 A321 (Verification/Filing)","Brooklyn, Bronx, Manhattan, Queens, Staten Island","Minority Owned Business Enterprise (MBE), Registered Design Professional, Retro Commissioning Agent",,"Mayflower Energy Engineering is a leading independent consultancy firm serving clients across the building industry within New York City. Our team has over 30 years of combined project experience offering the best in-class energy & sustainability consulting, end-to-end performance-driven project implementation and independent commissioning services. Our mission is to apply practical engineering solutions to maximize efficiency, optimize systems integration, and reduce environmental impact while providing the highest return on investment for our clients within the multifamily, commercial, and institutional markets.

We offer Energy Audits (LL87 & NYSERDA FlexTech), Commissioning Services, Electrification, Owner's Rep support, heating/cooling design, HVAC troubleshooting, O&M consulting, incentives administration, and general energy efficiency consulting. We also offer a suite of services around local law compliance for LL84, LL87, LL88, and LL97 performance and prescriptive pathway. Our focus is on affordable and market rate multifamily housing as well as commercial buildings.","Affordable Housing, Multifamily Market Rate",3,8,"Small (0-50K sq. ft), Medium (50K-250K sq. ft), Large (250K+ sq. ft)"
"Mayta+Sebastian Architecture D.P.C","Raul Mayta",raul@maytasebastian.com,https://www.maytasebastian.com,646-642-3272,352-870-9432,"215 West 40th Street, 9th Flr North,","New York","New York",10016,"Air Sealing/Weatherization, Architecture, Building Envelope/Roof Services, Data Platform/Data as a Service, Engineering/Design/Modeling, Expediting, Green Roof, Lighting, LL88 (Turnkey = Turnkey = Install, Verify, File), LL97, LL97 A321 (Verification/Filing), Retro-Commissioning, Turnkey Solutions, Water Conservation, Windows/Fenestration","Brooklyn, Bronx, Manhattan, Queens","Minority and Women Owned Business Enterprise (MWBE), Registered Design Professional",,"M+S specializes in the design, DOB filing, and construction administration of existing building envelope restoration/rehabilitation including the retrofitting of fenestrations. We ensure our building owners are in compliance with the NYC Local Law 11 (FISP) and are currently expanding our services to Local Law 97 compliance to incorporate energy efficient retrofits into our facade repair programs. The design wing of our firm focuses on the design of residential or commercial amenity spaces and apartment renovations. Our other services involve plan reviews, laser scanning, building analytics, energy modelling, and pre-construction surveys. Insulation. Maintenance, Roofing, Restoration.","Commercial and Industrial, Institutional",15,6,"Medium (50K-250K sq. ft)"
"MEP Engineering PC","German Chaikin",GRC@MEPengineeringPC.com,https://WWW.MEPengineeringPC.com,"212-390-1811 x 320",631-987-9788,"31 West 34th Street","New York","New York",10001,"Audits/Study/Consultant, Chilled Water Hot Water and Stream Distribution Systems, Domestic Hot Water, Engineering/Design/Modeling, Engineering/Structural Engineering, EV Charging Station, Heat Pumps, HVAC, Hydronic Heating, LL88 (Verification/Filing), LL97 A321 (Verification/Filing), Mechanical/MEP, Steam Heating","Brooklyn, Bronx, Manhattan, Queens, Staten Island","Registered Design Professional",,"Our HVAC engineering practice focuses on evaluating existing building systems, retrofit designs, system expansion designs and new construction building design.  Building heating and cooling load calculations. HVAC equipment sizing, selection and installation design. Decentralization of central HVAC system implementation. Alternative HVAC and domestic hot water system application evaluations.","Commercial and Industrial, Healthcare, Small-Medium Businesses",7,19,"Small (0-50K sq. ft), Medium (50K-250K sq. ft)"
"New York Engineers P.C.","Pam Boyette",pboyette@nyc-engineers.com,https://www.ny-engineers.com,718-577-5344,718-577-5344,"55 Broad Street, 4th Floor","New York","New York",10004,"Audits/Study/Consultant, Bioheat Fuels, Building Envelope/Roof Services, Building Representatives, Chilled Water Hot Water and Stream Distribution Systems, Cool Roof, Engineering/Design/Modeling, Energy Modeling, Energy Storage, Engineering/Structural Engineering, Equipment Vendor/Manufacturer, EV Charging Station, Heat Pumps, HVAC, Hydronic Heating, Insulation, Lighting, Local Law 84, Local Law 87, LL88 (Verification/Filing), LL88 (Turnkey = Turnkey = Install, Verify, File), LL97 A321 (Verification/Filing), LL97 A321 (Turnkey = Turnkey = Install, Verify, File), Mechanical/MEP, Oil Switching, Packaged Terminal Air, Passive House, Pipe Insulation, Steam Heating, Turnkey Solutions","Brooklyn, Bronx, Manhattan, Queens, Staten Island","Registered Design Professional","Con Edison Small-Medium Business Program (SMB), Con Edison Commercial and Industrial (C&I)","New York Engineers has been in the industry for over 30 years and provides full-service heating, cooling, and plumbing. The firm specializes in all aspects of HVAC, from natural gas #2, #4, and city steam, while working on commercial and industrial heating systems as well as cool roof.","Affordable Housing, Commercial and Industrial",50,10,"Medium (50K-250K sq. ft)"
"NY Building Systems Consultant Inc","Md Aminul Islam",mdislam@nybscinc.com,https://www.nybscinc.com,917-300-7495,929-545-4155,"147-28 Hillside Avenue, Suite 2F",Jamaica,"New York",11435,"Audits/Study/Consultant, Boiler Services, Building Envelope/Roof Services, Chilled Water Hot Water and Stream Distribution Systems, Controls/Energy Management Systems, Domestic Hot Water, EC Motors, Elevator/Motors, Elevator Modernization, Engineering/Design/Modeling, Energy Modeling, Energy Storage, Engineering/Structural Engineering, EV Charging Station, Expediting, Heat Pumps, HVAC, Hydronic Heating, Insulation, Lighting, Local Law 84, Local Law 87, LL88 (Verification/Filing), LL88 (Turnkey = Turnkey = Install, Verify, File), LL97, LL97 A321 (Verification/Filing), LL97 A321 (Turnkey = Turnkey = Install, Verify, File), Mechanical/MEP, Oil Switching, Packaged Terminal Air, Pipe Insulation, Retro-Commissioning, Steam Heating, Water Conservation","Brooklyn, Bronx, Manhattan, Queens, Staten Island","Minority Owned Business Enterprise (MBE), Registered Design Professional, Retro Commissioning Agent","Con Edison Small-Medium Business Program (SMB), Con Edison Multifamily Program (MFEEP), Con Edison Commercial and Industrial (C&I), NYSERDA Clean Heat Program","NY Building Systems Consultant Inc. (NYBSC) is an MBE and DBE certified comprehensive Energy and Mechanical engineering consulting firm offering full services in energy auditing, commissioning, mechanical system design, and project management. It was formed by industry professionals that each have more than 20 years’ experience. NYBSC Energy and Engineering team is comprised of individuals with complete industry certifications including Professional Engineers (PE), Building Commissioning Professional (BCxP), Existing Building Commissioning Professional (EBCP), Certified Energy Auditor (CEA), and Certified Energy Manager (CEM). NYBSC is a ConEd approved consultant for commercial C&I program, multifamily program, and Small & Medium Business (SMB) program (ConEd ID: CE2019-3661). NYBSC is a service provider for NYC accelerators. NYBSC is an MBE (NYS, Port Authority & NYC) and DBE certified consultant.
NYBSC is a NYSERDA FlexTech consultant and NYSERDA Multifamily Building Solutions Provider for all energy efficiency programs. NYBSC is a NYC Housing Development Corporation (NYC - HDC) Approved IPNA provider for all energy efficiency programs.

Services we offer -
• NYC Local Law 97 Road map
• HVAC Design
• MEP Design
• Energy Audit
• Commissioning
• Co-Generation Design
• Special Inspections
• Energy Engineering
• Solar
• NYC Local Law 88, 87 & 84
• Incentives Application
• Plumbing Design
• Sprinkler Design
• Project Management","Affordable Housing, Commercial and Industrial, Healthcare, Institutional, Multifamily Market Rate",5,7,"Medium (50K-250K sq. ft)"
"NYC2030 District (a Partner Project of the Fund for the City of NY)","Haym Gross",haym@nyc2030.org,https://2030districts.org/newyork/,917-576-4957,917-576-4957,"NYC 2030 District c/o Fund for the City of New York, 121 Avenue of the Americas, 6th Fl.","New York","New York",10013,"Building Representatives, Engineering/Design/Modeling, Energy Modeling","Brooklyn, Manhattan","Registered Design Professional",,"NYC 2030 District (NYC2030) is a non-profit partnership of stakeholders from the Property, Service and Civic sectors dedicated to collaborative climate progress. NYC2030 works with our service and professional partners to perform building energy improvements for property owners and promotes community scale decarbonization programs.

Our group serves as a project facilitator or owner's rep to implement high-performance retrofits. NYC2030 forms a team of our members of trusted professionals, consultants and contractors to complete each project successfully. Property owners can benefit from NYC2030’s commitment to guide them from assessment to the completion of their energy retrofit projects.

NYC2030 will assist property owners to achieve energy efficiency and electrification improvements and will cooperate with our Service Provider partners to evaluate, plan, and arrange financing and resources for the projects.

We work primarily with Multi-Family and Mixed Residential-Commercial properties, some of which were introduced through Heat/Cool Smart Brooklyn, a NYSERDA Clean Heat campaign NYC2030 has implemented, as well as through referrals from the NYC Accelerator.

NYC2030 member companies, representing a range of professionals, energy consultants and contractors, compose our retrofit team of Service Providers, including other NYC Accelerator Service Providers.","Affordable Housing, Commercial and Industrial, Institutional, Multifamily Market Rate",1,8,"Medium (50K-250K sq. ft)"
"Paul A. Castrucci Architects","Grayson Jordan",grayson@castrucciarchitect.com,https://www.castrucciarchitect.com,"212 254 7060 ext. 602",917-293-8266,"179 Rivington St. #1A","New York","New York",10002,"Architecture, Audits/Study/Consultant, Engineering/Design/Modeling, Energy Modeling, Passive House","Brooklyn, Bronx, Manhattan, Queens","Registered Design Professional",,"Situated at the intersection of affordable housing, climate resilience, and community activism,our work is driven by the need to create impactful change. For over 30 years, PCA has tackledsystemic challenges with thoughtful, holistic solutions, designing human-centeredenvironments that uplift and sustain communities of all sizes.

We specialize in designing healthy, high-performance buildings that deliver lasting value. With expertise in Passive House design, modular construction, deep energy retrofits, Local Law compliance, and low-carbon building strategies, we ensure your projects yield significant long-term savings and environmental benefits. Our services also include energy conservation strategies and code consultation.","Affordable Housing, Commercial and Industrial, Multifamily Market Rate",15,29,"Small (0-50K sq. ft), Medium (50K-250K sq. ft), Large (250K+ sq. ft)"
"Pearl Street Systems, LLC","Brian Healey, Senior Director of Strategic Accounts",bhealey@pearlstreetled.com,https://www.pearlstreetled.com,908-547-9048,908-923-4150,"222 Broadway, 7th Floor","New York","New York",10038,"Audits/Study/Consultant, EC Motors, Electrical/Lighting Contractor, Lighting, LL88 (Verification/Filing), LL88 (Install), LL88 (Turnkey = Turnkey = Install, Verify, File), Turnkey Solutions","Brooklyn, Bronx, Manhattan, Queens, Staten Island","Registered Design Professional","Con Edison Multifamily Program (MFEEP), Con Edison Commercial and Industrial (C&I), Con Edison Instant Lighting Incentive Program (ILIP), National Grid General Rebates","Pearl Street Systems is a leading distributor, turnkey installer, and professional services provider of commercial and industrial LED lighting systems and controls. With a skilled and experienced staff whose only focus is LED lighting, Pearl Street supplies and installs custom engineered solutions that deliver measurable long-term value. We also utilize rebate incentives to facilitate the process and provide their customers with the best possible rates.  Turnkey Lighting Engineering Services:

Local Law (LL88) compliance-Lighting material supply. Local Law 88 (LL88) Lighting Surveys, LED, Audits, Controls, Consulting, Designs, Filing, Signoffs, Turnkey Installations, Pumps, Drives, Fans, Fan Walls, EC Motors, Surveys, Belts, VFDs, VSDs, Variable Drives, HVAC, Cooling Towers, Functional Testing, Hydronic Studies, Engineering/Design/Modeling.","Affordable Housing, Commercial and Industrial, Healthcare, Institutional, Multifamily Market Rate",50,12,"Small (0-50K sq. ft), Medium (50K-250K sq. ft), Large (250K+ sq. ft)"
"PVE Engineering (Partridge Venture)","David Sivin",dsivin@pve-llc.com,https://www.pve-llc.com/,"(646) 602-4999","(646) 799-8968","25 West 39th Street, 12th Floor","New York","New York",10018,"Architecture, Audits/Study/Consultant, Controls/Energy Management Systems, Engineering/Design/Modeling, Energy Modeling, Engineering/Structural Engineering, Local Law 84, Local Law 87, LL88 (Verification/Filing), LL97, LL97 A321 (Verification/Filing), Retro-Commissioning","Brooklyn, Bronx, Manhattan, Queens, Staten Island","Registered Design Professional","NYSERDA FlexTech","LL 84/133 (Benchmarking), LL 87 (Energy Audits + Retro Commissioning), LL 88/132 (Submetering), LL 88/134 (Lighting Upgrades), Consulting on LL 92/94 (Sustainable Roofing), LL95 (Energy Grades), LL97 (GHG Emissions). Amongst other non-energy LL's, PVE is also heavily involved in LL11 (Facade Inspections) and encourages owners to reconsider-facade upgrades to reduce energy/emissions. PVE is also pre-qualified Integrated Physical Needs Assessments (IPNA) provider for affordable multifamily buildings. PVE has Professional Engineers and Architects on staff to design upgrades and repairs for certain solutions to existing buildings. Local Law 84 (LL84), Local Law 87 (LL87), Local Law 88 (LL88), Local Law 97 (LL97)","Affordable Housing, Commercial and Industrial, Healthcare, Institutional, Multifamily Market Rate",150,13,"Medium (50K-250K sq. ft)"
"Ramirez and Azadian Analysis & Design","Ethan Ludwig",ethan.ludwig@raadny.com,https://www.raadny.com,"(516) 353-6934",,"323 53rd St. APT 2",Brooklyn,"New York",11220,"Audits/Study/Consultant, Bioheat Fuels, Building Representatives, Chilled Water Hot Water and Stream Distribution Systems, Controls/Energy Management Systems, Domestic Hot Water, EC Motors, Engineering/Design/Modeling, Energy Modeling, Energy Storage, Expediting, Geothermal, Heat Pumps, HVAC, Hydronic Heating, Insulation, Local Law 84, Local Law 87, LL88 (Verification/Filing), LL97 A321 (Verification/Filing), Master Venting, Mechanical/MEP, Packaged Terminal Air, Passive House, Pipe Insulation, Steam Heating, Water Conservation","Brooklyn, Bronx, Manhattan, Queens, Staten Island","Registered Design Professional",,"RAAD is a full-service Mechanical, Electrical, and Plumbing (MEP) company. We provide engineering design services, including HVAC, fire protection, fire alarm, electrical, and plumbing. RAAD has direct experience in new constructions, steam boilers, cooling towers, telecommunications, electrical distribution systems, storm sewer systems, process equipment, fire protection / detection, security systems, VRF, water source heat pumps, gas fired heating equipment, oil fired equipment, domestic hot water equipment, domestic boosters, fire pump design, cogeneration, and kitchen exhaust systems design.","Affordable Housing, Commercial and Industrial, Healthcare, Institutional, Multifamily Market Rate, Small-Medium Businesses",5,9,"Large (250K+ sq. ft)"
"RAND Engineering & Architecture, DPC","Colin Fitzgerald",cfitzgerald@randpc.com,https://www.randpc.com,212-675-8844,,"159 West 25th Street","159 West 25th Street","New York",10001,"Air Sealing/Weatherization, Architecture, Audits/Study/Consultant, Boiler Services, Building Envelope/Roof Services, Chilled Water Hot Water and Stream Distribution Systems, Controls/Energy Management Systems, Domestic Hot Water, Engineering/Design/Modeling, Energy Modeling, Engineering/Structural Engineering, EV Charging Station, Expediting, Green Roof, Heat Pumps, HVAC, Hydronic Heating, Lighting, Local Law 84, Local Law 87, LL88 (Verification/Filing), LL97 A321 (Verification/Filing), Mechanical/MEP, Packaged Terminal Air, Pipe Insulation, Retro-Commissioning, Roofing, Roof Insulation, Steam Heating, Ventilation, Windows/Fenestration","Brooklyn, Bronx, Manhattan, Queens, Staten Island","Registered Design Professional, Retro Commissioning Agent","NYSERDA MPP","As a full-service engineering and architectural firm, RAND’s expertise in building design and function spans a wide range, including building envelope, mechanical, electrical, plumbing, architectural design, structural engineering, building surveys, energy services, code & zoning, and special inspections. Our expert team, including licensed engineers and architects, LEED Accredited Professionals, and Certified Energy Managers, offers a range of energy services, covering Benchmarking (LL84 & 133); Energy Audits, Commissioning, and Retro-commissioning (LL87); Carbon Emissions Reduction Compliance (LL97); Lighting and Sub-Metering Upgrades (LL88), and more.","Affordable Housing, Commercial and Industrial, Healthcare, Multifamily Market Rate",127,37,"Small (0-50K sq. ft), Medium (50K-250K sq. ft), Large (250K+ sq. ft)"
